Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 44.64      0.25     0.25 17000043     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Object*>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Object*> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  8.93      0.30     0.05        1    50.00   525.02  CodeRunner::run()
  7.14      0.34     0.04  8000007     0.00     0.00  Environment::get(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  5.36      0.37     0.03 13000013     0.00     0.00  ObjectStack::push(Object*)
  5.36      0.40     0.03  1000000     0.00     0.00  CodeRunner::visit(GetSubscriptInst&)
  3.57      0.42     0.02                             ScopeError::ScopeError(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  2.68      0.44     0.02  1000001     0.00     0.00  BoolOpInst::accept(InstructionVisitor&)
  1.79      0.45     0.01  8000006     0.00     0.00  CodeRunner::visit(GetInst&)
  1.79      0.46     0.01  1000017     0.00     0.00  Environment::declare(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  1.79      0.47     0.01  1000004     0.00     0.00  PushIntegerInst::accept(InstructionVisitor&)
  1.79      0.48     0.01  1000002     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Object*>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Object*> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_rehash(unsigned long, unsigned long const&)
  1.79      0.49     0.01  1000001     0.00     0.00  CodeRunner::visit(BoolOpInst&)
  1.79      0.50     0.01  1000001     0.00     0.00  Environment::enter(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  1.79      0.51     0.01  1000000     0.00     0.00  int_to_str(std::unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<Instruction*, std::allocator<Instruction*> >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::vector<Instruction*, std::allocator<Instruction*> > > > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<Instruction*, std::allocator<Instruction*> >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::vector<Instruction*, std::allocator<Instruction*> > > > > > > >&, ObjectStack&, Environment*)
  1.79      0.52     0.01  1000000     0.00     0.00  print(std::unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<Instruction*, std::allocator<Instruction*> >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::vector<Instruction*, std::allocator<Instruction*> > > > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<Instruction*, std::allocator<Instruction*> >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::vector<Instruction*, std::allocator<Instruction*> > > > > > > >&, ObjectStack&, Environment*)
  1.79      0.53     0.01  1000000     0.00     0.00  CodeRunner::visit(BinopInst&)
  1.79      0.54     0.01  1000000     0.00     0.00  GetSubscriptInst::accept(InstructionVisitor&)
  1.79      0.55     0.01        1    10.00    10.00  range(std::unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<Instruction*, std::allocator<Instruction*> >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::vector<Instruction*, std::allocator<Instruction*> > > > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<Instruction*, std::allocator<Instruction*> >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::vector<Instruction*, std::allocator<Instruction*> > > > > > > >&, ObjectStack&, Environment*)
  1.79      0.56     0.01                             SetSubscriptInst::to_string[abi:cxx11]() const
  0.89      0.56     0.01                             BoolOpInst::equal(Instruction const*) const
  0.00      0.56     0.00 10000009     0.00     0.00  ObjectStack::pop()
  0.00      0.56     0.00  8000006     0.00     0.00  GetInst::accept(InstructionVisitor&)
  0.00      0.56     0.00  3000005     0.00     0.00  IntegerObject::IntegerObject(int)
  0.00      0.56     0.00  2000017     0.00     0.00  Environment::set(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, Object*)
  0.00      0.56     0.00  2000004     0.00     0.00  CodeRunner::visit(SetInst&)
  0.00      0.56     0.00  2000004     0.00     0.00  SetInst::accept(InstructionVisitor&)
  0.00      0.56     0.00  2000003     0.00     0.00  ObjectStack::pop_integer()
  0.00      0.56     0.00  2000002     0.00     0.00  CodeRunner::visit(CallInst&)
  0.00      0.56     0.00  2000002     0.00     0.00  CallInst::accept(InstructionVisitor&)
  0.00      0.56     0.00  1000017     0.00     0.00  std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Object*>, true>* std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Object*>, true> > >::_M_allocate_node<std::piecewise_construct_t const&, std::tuple<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>, std::tuple<> >(std::piecewise_construct_t const&, std::tuple<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>&&, std::tuple<>&&)
  0.00      0.56     0.00  1000004     0.00     0.00  CodeRunner::visit(DeclareInst&)
  0.00      0.56     0.00  1000004     0.00     0.00  CodeRunner::visit(PushIntegerInst&)
  0.00      0.56     0.00  1000004     0.00     0.00  DeclareInst::accept(InstructionVisitor&)
  0.00      0.56     0.00  1000001     0.00     0.00  CodeRunner::visit(EnterScope&)
  0.00      0.56     0.00  1000001     0.00     0.00  CodeRunner::visit(LeaveScope&)
  0.00      0.56     0.00  1000001     0.00     0.00  CodeRunner::visit(JumpIfFalseInst&)
  0.00      0.56     0.00  1000001     0.00     0.00  EnterScope::accept(InstructionVisitor&)
  0.00      0.56     0.00  1000001     0.00     0.00  LeaveScope::accept(InstructionVisitor&)
  0.00      0.56     0.00  1000001     0.00     0.00  Environment::leave(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.56     0.00  1000001     0.00     0.00  BooleanObject::BooleanObject(bool)
  0.00      0.56     0.00  1000001     0.00     0.00  JumpIfFalseInst::accept(InstructionVisitor&)
  0.00      0.56     0.00  1000000     0.00     0.00  list_push(std::unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<Instruction*, std::allocator<Instruction*> >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::vector<Instruction*, std::allocator<Instruction*> > > > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<Instruction*, std::allocator<Instruction*> >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::vector<Instruction*, std::allocator<Instruction*> > > > > > > >&, ObjectStack&, Environment*)
  0.00      0.56     0.00  1000000     0.00     0.00  CodeRunner::visit(JumpInst&)
  0.00      0.56     0.00  1000000     0.00     0.00  ObjectStack::pop_string()
  0.00      0.56     0.00  1000000     0.00     0.00  StringObject::StringObject(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.56     0.00  1000000     0.00     0.00  JumpInst::accept(InstructionVisitor&)
  0.00      0.56     0.00  1000000     0.00     0.00  BinopInst::accept(InstructionVisitor&)
  0.00      0.56     0.00      247     0.00     0.00  std::__detail::_Map_base<TokType, std::pair<TokType const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<TokType const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::__detail::_Select1st, std::equal_to<TokType>, std::hash<TokType>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](TokType const&)
  0.00      0.56     0.00      145     0.00     0.00  ObjectTypeNode::ObjectTypeNode(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<TypeNode*, std::allocator<TypeNode*> > const&)
  0.00      0.56     0.00       77     0.00     0.00  ObjectTypeNode::clone() const
  0.00      0.56     0.00       58     0.00     0.00  std::_Hashtable<TokType, std::pair<TokType const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<TokType const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::__detail::_Select1st, std::equal_to<TokType>, std::hash<TokType>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<TokType const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, false>*, unsigned long)
  0.00      0.56     0.00       58     0.00     0.00  std::__detail::_Map_base<TokType, std::pair<TokType const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<TokType const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::__detail::_Select1st, std::equal_to<TokType>, std::hash<TokType>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](TokType&&) [clone .constprop.0]
  0.00      0.56     0.00       52     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, TokType>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, TokType> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, TokType>, true>*, unsigned long)
  0.00      0.56     0.00       48     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, TokType>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, TokType> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.56     0.00       47     0.00     0.00  void std::vector<TypeNode*, std::allocator<TypeNode*> >::_M_realloc_insert<TypeNode*>(__gnu_cxx::__normal_iterator<TypeNode**, std::vector<TypeNode*, std::allocator<TypeNode*> > >, TypeNode*&&)
  0.00      0.56     0.00       45     0.00     0.00  FunctionTypeNode::FunctionTypeNode(std::vector<TypeNode*, std::allocator<TypeNode*> > const&, TypeNode*)
